City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
0,Belmonte,BR,72.28,-15.8631,-38.8828,overcast clouds,Pousada Monte Carmelo O Pão
5,Atuona,PF,78.51,-9.8,-139.0333,scattered clouds,Villa Enata
8,Salalah,OM,78.89,17.0151,54.0924,few clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
10,Hilo,US,73.13,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
16,Mumford,GH,78.4,5.2618,-0.759,clear sky,Peace Guest House
17,Wawa,NG,70.12,9.9022,4.4192,clear sky,
18,East London,ZA,67.14,-33.0153,27.9116,clear sky,Tu Casa
23,Carutapera,BR,75.99,-1.195,-46.02,clear sky,Lidera
25,Busselton,AU,76.21,-33.65,115.3333,scattered clouds,Observatory Guest House
26,Port Elizabeth,ZA,69.31,-33.918,25.5701,clear sky,39 On Nile Guest House
27,Port Alfred,ZA,71.82,-33.5906,26.891,clear sky,The Halyards Hotel & Spa
28,Entre Rios,BR,68.88,-11.9419,-38.0844,scattered clouds,Pousada Porteira
29,Hobart,AU,65.05,-42.8794,147.3294,clear sky,St Ives Hobart Accommodation Tasmania
31,Umm Kaddadah,SD,67.37,13.6017,26.6876,clear sky,
33,Kavieng,PG,85.68,-2.5744,150.7967,scattered clouds,Nusa Island Retreat
34,Colares,PT,65.34,38.7992,-9.4469,overcast clouds,Arribas Sintra Hotel
38,Sao Jose Da Coroa Grande,BR,76.19,-8.8978,-35.1478,scattered clouds,Crôa Mares Hotel
40,Yulara,AU,70.86,-25.2406,130.9889,overcast clouds,Desert Gardens Hotel - Ayers Rock Resort
42,Touros,BR,78.85,-5.1989,-35.4608,overcast clouds,INN NEW HORIZON
43,Bathsheba,BB,81.21,13.2167,-59.5167,light intensity shower rain,Atlantis Hotel
45,Arraial Do Cabo,BR,73.02,-22.9661,-42.0278,overcast clouds,Pousada Porto Praia
48,Butaritari,KI,82.11,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
49,Avarua,CK,75.25,-21.2078,-159.775,broken clouds,Paradise Inn
52,Rikitea,PF,73.29,-23.1203,-134.9692,light rain,People ThankYou
57,Tuburan,PH,86.09,6.6439,122.2736,broken clouds,GT Site
69,Gamba,GA,75.29,-2.65,10.0,moderate rain,
71,Vaini,TO,82.56,-21.2,-175.2,broken clouds,Keleti Beach Resort
73,Georgetown,MY,84.13,5.4112,100.3354,few clouds,Cititel Penang
76,Qui Nhon,VN,80.58,13.7667,109.2333,overcast clouds,Seagull Hotel
82,Puerto Suarez,BO,70.0,-18.95,-57.8,overcast clouds,Hotel casa real
83,Mahebourg,MU,82.26,-20.4081,57.7,smoke,Shandrani Beachcomber Resort & Spa
86,Ambulu,ID,83.3,-8.345,113.6058,overcast clouds,Hotel Ambulu Jember
87,Carnarvon,AU,77.5,-24.8667,113.6333,clear sky,Hospitality Carnarvon
88,Ampanihy,MG,76.1,-24.7,44.75,clear sky,HOTEL SHARRON AMPANIHY OUEST
89,Kapaa,US,80.58,22.0752,-159.319,few clouds,Sheraton Kauai Coconut Beach Resort
94,Victoria,HK,78.85,22.2855,114.1577,overcast clouds,Mini Central
98,Nhulunbuy,AU,88.41,-12.2333,136.7667,broken clouds,East Arnhem Real Estate
100,Gorontalo,ID,85.26,0.5412,123.0595,overcast clouds,Maqna Hotel by Prasanthi
101,Manaure,CO,77.22,11.7751,-72.4445,clear sky,Hotel Palaaima
109,Mogok,MM,77.47,22.9167,96.5,clear sky,MOGOK HILL HOTEL
111,Maunabo,PR,80.44,18.0072,-65.8993,few clouds,Parador Maunacaribe
122,Galle,LK,83.07,6.0367,80.217,scattered clouds,Amangalla
124,Davila,PH,85.98,18.4726,120.5763,broken clouds,Blue Ridge Beach Resort
127,Kendari,ID,85.82,-3.945,122.4989,overcast clouds,Hotel Wixel
128,Ballina,AU,82.02,-28.8667,153.5667,broken clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
130,Srandakan,ID,83.37,-7.9386,110.2506,light rain,Puri Brata
134,Sembe,CG,68.86,1.6481,14.5806,scattered clouds,
136,Namibe,AO,71.62,-15.1961,12.1522,overcast clouds,Hotel Chik Chik Namibe
138,Hervey Bay,AU,80.02,-25.2986,152.8535,overcast clouds,Shelly Bay Resort
139,Inhambane,MZ,77.0,-23.865,35.3833,scattered clouds,Oceano
143,San Isidro,PE,67.59,-12.1167,-77.05,clear sky,Radisson Hotel Decapolis Miraflores
151,Puerto Ayora,EC,68.56,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
155,Ngunguru,NZ,68.11,-35.6167,174.5,clear sky,Pacific Rendezvous Motel Resort
158,Neiafu,TO,81.28,-18.65,-173.9833,broken clouds,Mystic Sands Beachfront Accommodation
159,Palmares Do Sul,BR,66.54,-30.2578,-50.5097,overcast clouds,Hotel Campos Dourados.
160,Mumbwa,ZM,69.93,-14.9783,27.0619,overcast clouds,Mumbwa Motel
163,Choma,ZM,69.01,-16.8065,26.9531,overcast clouds,Kamuboola Lodge
164,Kitgum,UG,67.59,3.2783,32.8867,light rain,Jaflo Gardens Hotel
169,Geraldton,AU,75.61,-28.7667,114.6,clear sky,Broadwater Mariner Resort
172,Rawson,AR,68.32,-43.3002,-65.1023,broken clouds,Hosteria Sampedro
175,Kelo,TD,66.92,9.3086,15.8066,clear sky,Plantation de Kelo
178,Cabo San Lucas,MX,72.52,22.8909,-109.9124,scattered clouds,Hotel Tesoro Los Cabos
179,Vanimo,PG,84.7,-2.6741,141.3028,broken clouds,Vahmoneh Lodge Vanimo
181,Ahuimanu,US,78.51,21.4447,-157.8378,few clouds,Paradise Bay Resort
182,Airai,TL,69.84,-8.9266,125.4092,overcast clouds,
186,Tessalit,ML,69.71,20.1986,1.0114,overcast clouds,
191,Esperance,AU,79.68,-33.8667,121.9,broken clouds,Hospitality Esperance
192,Basco,PH,82.18,20.4487,121.9702,overcast clouds,Nathaniel's Lodge
194,Aparecida Do Taboado,BR,72.18,-20.0867,-51.0936,overcast clouds,Aritana
196,Tautira,PF,76.01,-17.7333,-149.15,light rain,Pension Oaoa
199,Acurenam,GQ,65.57,1.0322,10.6488,broken clouds,
203,Naze,JP,70.72,28.3667,129.4833,overcast clouds,Shishime Hotel
209,Souillac,MU,80.98,-20.5167,57.5167,smoke,Shanti Maurice Resort & Spa
