City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Seminole,US,2022-11-11 21:32:23,28.7086,-81.2081,80.69,89,75,10.36
1,Vaini,TO,2022-11-11 21:37:00,-21.2,-175.2,82.56,83,20,5.75
2,Bien Hoa,VN,2022-11-11 21:37:00,10.95,106.8167,80.58,91,99,3.89
3,Puerto Ayora,EC,2022-11-11 21:37:00,-0.7393,-90.3518,76.96,83,65,14.0
4,Castro,BR,2022-11-11 21:37:01,-24.7911,-50.0119,58.69,95,100,4.41
5,Alexandria,EG,2022-11-11 21:34:10,31.2156,29.9553,64.94,57,0,10.38
6,Hermanus,ZA,2022-11-11 21:37:02,-34.4187,19.2345,62.8,87,0,4.41
7,Bandarbeyla,SO,2022-11-11 21:37:02,9.4942,50.8122,78.78,73,93,13.38
8,Butaritari,KI,2022-11-11 21:37:02,3.0707,172.7902,81.45,76,67,13.8
9,Tiksi,RU,2022-11-11 21:37:03,71.6872,128.8694,-13.85,99,94,6.85
10,Rikitea,PF,2022-11-11 21:37:03,-23.1203,-134.9692,74.66,88,100,12.35
11,Mar Del Plata,AR,2022-11-11 21:37:04,-38.0023,-57.5575,67.82,86,75,12.66
12,Ushuaia,AR,2022-11-11 21:37:05,-54.8,-68.3,51.46,54,20,21.85
13,Barrow,US,2022-11-11 21:37:05,71.2906,-156.7887,19.42,93,100,19.57
14,Grand Gaube,MU,2022-11-11 21:37:05,-20.0064,57.6608,72.0,74,24,3.0
15,Marsa Matruh,EG,2022-11-11 21:37:06,31.3525,27.2453,66.4,52,40,6.91
16,Rosarito,MX,2022-11-11 21:37:06,32.3333,-117.0333,74.41,30,100,8.59
17,Caravelas,BR,2022-11-11 21:35:37,-17.7125,-39.2481,75.61,83,75,8.68
18,Richards Bay,ZA,2022-11-11 21:37:07,-28.783,32.0377,71.92,82,100,12.37
19,Chokurdakh,RU,2022-11-11 21:37:08,70.6333,147.9167,-24.84,98,95,6.6
20,Kapaa,US,2022-11-11 21:37:08,22.0752,-159.319,82.38,64,75,21.85
21,Alofi,NU,2022-11-11 21:37:09,-19.0595,-169.9187,80.49,74,75,11.5
22,Saskylakh,RU,2022-11-11 21:37:09,71.9167,114.0833,-19.88,99,93,1.63
23,Taltal,CL,2022-11-11 21:37:10,-25.4,-70.4833,64.22,68,98,6.44
24,Cape Town,ZA,2022-11-11 21:37:10,-33.9258,18.4232,63.09,79,0,9.22
25,Punta Arenas,CL,2022-11-11 21:27:12,-53.15,-70.9167,48.31,66,20,10.36
26,Esperance,AU,2022-11-11 21:37:11,-33.8667,121.9,49.84,73,97,22.01
